make_model,hp_kW,km,age,Gearing_Type,Gears,Fuel,price
0,Audi A1,66.0,56013.0,3.0,Automatic,7.0,Diesel,15770
1,Audi A1,141.0,80000.0,2.0,Automatic,7.0,Benzine,14500
2,Audi A1,85.0,83450.0,3.0,Automatic,7.0,Diesel,14640
3,Audi A1,66.0,73000.0,3.0,Automatic,6.0,Diesel,14500
4,Audi A1,66.0,16200.0,3.0,Automatic,7.0,Diesel,16790
5,Audi A1,85.0,63668.0,3.0,Automatic,7.0,Diesel,15090
6,Audi A1,85.0,62111.0,3.0,Automatic,7.0,Diesel,16422
7,Audi A1,66.0,14986.0,3.0,Automatic,7.0,Diesel,14480
8,Audi A1,85.0,57000.0,3.0,Automatic,7.0,Diesel,16700
9,Audi A1,70.0,16103.0,2.0,Automatic,7.0,Benzine,17990
10,Audi A1,85.0,11300.0,1.0,Automatic,7.0,Diesel,18500
11,Audi A1,92.0,26415.0,3.0,Automatic,7.0,Benzine,17990
12,Audi A1,92.0,31600.0,3.0,Automatic,7.0,Benzine,18380
13,Audi A1,112.0,45764.0,3.0,Automatic,7.0,Benzine,18399
14,Audi A1,70.0,34914.0,3.0,Automatic,7.0,Benzine,17990
15,Audi A1,85.0,27000.0,3.0,Automatic,7.0,Diesel,18700
16,Audi A1,85.0,9752.0,1.0,Automatic,5.0,Diesel,18900
17,Audi A1,66.0,28408.0,2.0,Automatic,7.0,Diesel,18500
18,Audi A1,70.0,50280.0,3.0,Automatic,7.0,Benzine,18400
19,Audi A1,85.0,13406.0,1.0,Automatic,7.0,Diesel,18500
20,Audi A1,85.0,51160.0,2.0,Automatic,7.0,Diesel,18500
21,Audi A1,92.0,15850.0,3.0,Automatic,7.0,Benzine,18500
22,Audi A1,92.0,17000.0,3.0,Automatic,7.0,Benzine,18900
23,Audi A1,85.0,9077.0,1.0,Automatic,7.0,Diesel,18850
24,Audi A1,70.0,3000.0,1.0,Automatic,7.0,Benzine,18500
25,Audi A1,70.0,115000.0,3.0,Manual,5.0,Benzine,8999
26,Audi A1,70.0,84029.0,3.0,Manual,5.0,Benzine,11444
